datetime	laboratory:daune:sbe37_bsh_6966:temperature_0001 [°C]	laboratory:daune:sbe37_bsh_6966:conductivity_0001 [S/m]	laboratory:daune:sbe37_bsh_6966:pressure_0001 [m]	laboratory:daune:sbe37_bsh_6966:salinity_0001 [PSU]
2020-09-19T00:48:18.000	17.6796	4.29519	9.307	32.7486
2020-09-19T00:48:28.000	17.6796	4.29522	9.28	32.7489
2020-09-19T00:48:38.000	17.68	4.29518	9.311	32.7482
2020-09-19T00:48:48.000	17.6792	4.2952	9.304	32.749
2020-09-19T00:48:58.000	17.6796	4.29521	9.284	32.7488
2020-09-19T00:49:08.000	17.6797	4.29522	9.3	32.7487
2020-09-19T00:49:18.000	17.6784	4.29517	9.306	32.7494
2020-09-19T00:49:28.000	17.6797	4.29523	9.315	32.7489
2020-09-19T00:49:38.000	17.679	4.29524	9.297	32.7495
2020-09-19T00:49:48.000	17.6803	4.2953	9.275	32.749
2020-09-19T00:49:58.000	17.6795	4.29517	9.301	32.7485
2020-09-19T00:50:08.000	17.6784	4.29525	9.277	32.75
2020-09-19T00:50:18.000	17.6799	4.2952	9.307	32.7484
2020-09-19T00:50:28.000	17.6754	4.29478	9.263	32.7484
2020-09-19T00:50:48.000	17.6762	4.295	9.326	32.7497
2020-09-19T00:50:58.000	17.6736	4.29475	9.287	32.7497
2020-09-19T00:51:08.000	17.6758	4.29486	9.276	32.7488
2020-09-19T00:51:18.000	17.6759	4.29493	9.296	32.7493
2020-09-19T00:51:28.000	17.6754	4.29494	9.29	32.7499
2020-09-19T00:51:38.000	17.6746	4.2947	9.278	32.7484
2020-09-19T00:51:48.000	17.6759	4.2949	9.273	32.7491
2020-09-19T00:51:58.000	17.6648	4.29364	9.294	32.7473
2020-09-19T00:52:08.000	17.6678	4.29414	9.279	32.7491
2020-09-19T00:52:18.000	17.6723	4.29433	9.29	32.7471
2020-09-19T00:52:28.000	17.6726	4.29444	9.269	32.7478
2020-09-19T00:52:38.000	17.6719	4.2944	9.301	32.748
2020-09-19T00:52:48.000	17.6719	4.29451	9.281	32.7489
2020-09-19T00:52:58.000	17.6742	4.29459	9.275	32.7478
2020-09-19T00:53:08.000	17.6719	4.29435	9.284	32.7476
2020-09-19T00:53:18.000	17.6738	4.29454	9.297	32.7477
2020-09-19T00:53:28.000	17.6737	4.29456	9.266	32.7479
2020-09-19T00:53:38.000	17.673	4.29452	9.253	32.7482
2020-09-19T00:53:48.000	17.6739	4.29451	9.294	32.7474
2020-09-19T00:53:58.000	17.6743	4.29468	9.262	32.7485
2020-09-19T00:54:08.000	17.6698	4.29458	9.272	32.7513
2020-09-19T00:54:18.000	17.6669	4.29416	9.267	32.75
2020-09-19T00:54:28.000	17.6682	4.29406	9.281	32.7481
2020-09-19T00:54:38.000	17.6659	4.29381	9.262	32.7478
2020-09-19T00:54:48.000	17.6646	4.29392	9.246	32.7498
2020-09-19T00:54:58.000	17.6652	4.29383	9.284	32.7485
2020-09-19T00:55:08.000	17.6641	4.29359	9.299	32.7474
2020-09-19T00:55:18.000	17.6669	4.2938	9.235	32.747
2020-09-19T00:55:28.000	17.6682	4.29398	9.231	32.7475
2020-09-19T00:55:38.000	17.6629	4.29362	9.282	32.7486
2020-09-19T00:55:48.000	17.6645	4.29362	9.259	32.7474
2020-09-19T00:55:58.000	17.6613	4.29329	9.251	32.7471
